Satellite,époque,X,Y,Z
G16,2021-12-14 00:00:00,23308200.948382616,-1769397.7026906256,12781152.355558103
G16,2021-12-14 00:16:40,24685149.21147089,-1186162.552977819,10071876.30188774
G16,2021-12-14 00:33:20,25746548.540488556,-758393.4196931515,7144960.245316918
G16,2021-12-14 00:50:00,26456021.553272393,-444513.23086550506,4062575.600863258
G16,2021-12-14 01:06:40,26789317.03817461,-196715.7507483993,890200.0073410178
G16,2021-12-14 01:23:20,26735416.457485512,36420.904725718545,-2304775.210548147
G16,2021-12-14 01:40:00,26297033.812496126,307145.65142369457,-5454478.623911059
G16,2021-12-14 01:56:40,25490485.096835937,665705.6760000484,-8492002.46656677
G16,2021-12-14 02:13:20,24344933.65880814,1157614.407878615,-11352825.524049928
G16,2021-12-14 02:30:00,22901047.562136047,1821148.4270274965,-13976184.605543569
G16,2021-12-14 02:46:40,21209133.028604545,2685194.4792760843,-16306365.284771662
G16,2021-12-14 03:03:20,19326832.9138062,3767550.9362650374,-18293884.472608425
G16,2021-12-14 03:20:00,17316499.721954152,5073766.232198073,-19896539.845173147
G16,2021-12-14 03:36:40,15242367.942250386,6596571.101343233,-21080304.117363706
G16,2021-12-14 03:53:20,13167659.786289956,8315933.072148679,-21820045.53764793
G16,2021-12-14 04:10:00,11151761.31367823,10199732.002377706,-22100059.698611327
G16,2021-12-14 04:26:40,9247602.34573583,12205025.868526608,-21914401.725011203
G16,2021-12-14 04:43:20,7499363.681366557,14279847.938037146,-21267012.038070384
G16,2021-12-14 05:00:00,5940619.428827346,16365451.161813896,-20171633.129299607
G16,2021-12-14 05:16:40,4593001.4978007795,18398894.300730817,-18651519.04347389
G16,2021-12-14 05:33:20,3465448.429962917,20315847.934464738,-16738943.507189684
G16,2021-12-14 05:50:00,2554072.939490974,22053487.862860132,-14474516.78670449
G16,2021-12-14 06:06:40,1842653.0798591767,23553339.012785494,-11906325.353933124
G16,2021-12-14 06:23:20,1303722.2245253157,24763935.04134848,-9088912.213670908
G16,2021-12-14 06:40:00,900204.4461877816,25643167.31875058,-6082119.220585287
G16,2021-12-14 06:56:40,587515.7650651014,26160211.519889116,-2949815.8044419796
G16,2021-12-14 07:13:20,316029.3735429144,26296939.998061832,241458.8666704498
G16,2021-12-14 07:30:00,33785.43051407533,26048752.528699387,3423911.215756631
G16,2021-12-14 07:46:40,-310685.7732089204,25424785.731837496,6529935.625826461
G16,2021-12-14 08:03:20,-765563.9511755165,24447491.162917215,9493552.731928771
G16,2021-12-14 08:20:00,-1373097.8083506208,23151602.24369288,12251812.613052161
G16,2021-12-14 08:36:40,-2167250.7619008347,21582539.397655316,14746132.71030351
G16,2021-12-14 08:53:20,-3171747.4587648576,19794329.51955099,16923541.866958257
G16,2021-12-14 09:10:00,-4398615.876581751,17847138.942990426,18737804.10443324
G16,2021-12-14 09:26:40,-5847296.023028101,15804537.275299845,20150398.52181066
G16,2021-12-14 09:43:20,-7504359.149262316,13730622.003889482,21131334.92967843
G16,2021-12-14 10:00:00,-9343852.2727538,11687140.093095109,21659788.397724126
G16,2021-12-14 10:16:40,-11328253.042493638,9730742.637775673,21724539.717593797
G16,2021-12-14 10:33:20,-13409990.96374651,7910502.073329046,21324212.783228386
G16,2021-12-14 10:50:00,-15533464.070253428,6265808.800199643,20467304.012488548
G16,2021-12-14 11:06:40,-17637456.529866677,4824745.966787984,19172003.13019863
G16,2021-12-14 11:23:20,-19657843.48955848,3603018.4067378743,17465808.86050692
G16,2021-12-14 11:40:00,-21530455.612391092,2603485.3884834414,15384947.2861274
G16,2021-12-14 11:56:40,-23193967.906590782,1816318.117646833,12973604.760695271
G16,2021-12-14 12:13:20,-24592676.002702333,1219773.1692605307,10282991.228698295
G16,2021-12-14 12:30:00,-25679028.1109099,781543.6171174999,7370253.520687918
G16,2021-12-14 12:46:40,-26415792.287056096,460621.9762659692,4297261.545628908
G16,2021-12-14 13:03:20,-26777755.84010726,209584.5211325935,1129293.1920072488
G16,2021-12-14 13:20:00,-26752875.91830209,-22813.710438894806,-2066353.922461832
G16,2021-12-14 13:36:40,-26342826.450145707,-288858.8666705298,-5221794.026318048
G16,2021-12-14 13:53:20,-25562915.419305626,-639047.7295723921,-8269997.281163803
G16,2021-12-14 14:10:00,-24441376.511363637,-1119343.6258101352,-11146215.30649641
G16,2021-12-14 14:26:40,-23018069.015329268,-1768651.5853972724,-13789357.539304886
G16,2021-12-14 14:43:20,-21342648.04021518,-2616634.966879679,-16143288.999358805
G16,2021-12-14 15:00:00,-19472292.255228743,-3681979.3459102474,-18158021.861220926
G16,2021-12-14 15:16:40,-17469097.280004304,-4971188.00019048,-19790775.653927326
G16,2021-12-14 15:33:20,-15397258.55512297,-6477967.868887901,-21006883.840570908
