époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:0:0:0.0000000,4316912.388,542826.4472,4583481.833,-39516.88478,108809.304,,-1.31723E-05
21:12:14:0:0:30.0000000,4317008.102,542714.5032,4584085.46,-39236.11747,109111.996,,-1.30787E-05
21:12:14:0:1:0.0000000,4317109.731,542602.6763,4584700.49,-38947.08478,109409.5012,,-1.29824E-05
21:12:14:0:1:30.0000000,4317218.359,542490.2563,4585326.557,-38649.47226,109702.2971,,-1.28832E-05
21:12:14:0:2:0.0000000,4317333.425,542378.533,4585962.601,-38344.15362,109990.1981,,-1.27814E-05
21:12:14:0:2:30.0000000,4317453.881,542266.1831,4586608.345,-38031.7474,110272.452,,-1.26772E-05
21:12:14:0:3:0.0000000,4317579.803,542154.2044,4587263.546,-37712.15096,110549.5722,,-1.25707E-05
21:12:14:0:3:30.0000000,4317711.937,542042.791,4587928.439,-37384.89363,110820.0449,,-1.24616E-05
21:12:14:0:4:0.0000000,4317850.204,541930.6979,4588600.814,-37051.44756,111086.9787,,-1.23505E-05
21:12:14:0:4:30.0000000,4317991.462,541820.2455,4589281.259,-36712.54225,111346.644,,-1.22375E-05
21:12:14:0:5:0.0000000,4318138.732,541709.4311,4589970.614,-36366.477,111600.4716,,-1.21222E-05
21:12:14:0:5:30.0000000,4318291.686,541599.4825,4590666.007,-36014.74702,111849.2981,,-1.20049E-05
21:12:14:0:6:0.0000000,4318449.262,541489.8788,4591368.776,-35657.17968,112091.4037,,-1.18857E-05
21:12:14:0:6:30.0000000,4318611.147,541380.871,4592076.974,-35294.81029,112328.5952,,-1.17649E-05
21:12:14:0:7:0.0000000,4318777.699,541272.2344,4592791.534,-34927.23391,112558.4722,,-1.16424E-05
21:12:14:0:7:30.0000000,4318947.2,541164.5247,4593510.693,-34555.83557,112783.1883,,-1.15186E-05
21:12:14:0:8:0.0000000,4319121.705,541057.9666,4594234.819,-34179.51833,113000.3862,,-1.13932E-05
21:12:14:0:8:30.0000000,4319300.222,540952.1514,4594963.612,-33798.66066,113212.2274,,-1.12662E-05
21:12:14:0:9:0.0000000,4319481.987,540846.7028,4595695.992,-33414.57688,113417.0638,,-1.11382E-05
21:12:14:0:9:30.0000000,4319666.325,540743.0698,4596431.336,-33027.68189,113615.8471,,-1.10092E-05
21:12:14:0:10:0.0000000,4319855.523,540639.6098,4597170.08,-32636.35724,113807.5858,,-1.08788E-05
21:12:14:0:10:30.0000000,4320046.486,540537.6426,4597911.42,-32242.80443,113993.2397,,-1.07476E-05
21:12:14:0:11:0.0000000,4320240.742,540437.5272,4598654.215,-31846.57426,114172.6522,,-1.06155E-05
21:12:14:0:11:30.0000000,4320437.501,540338.1399,4599399.367,-31447.96294,114344.7067,,-1.04827E-05
21:12:14:0:12:0.0000000,4320637.045,540239.4461,4600144.709,-31047.5248,114510.4509,,-1.03492E-05
21:12:14:0:12:30.0000000,4320838.373,540142.5705,4600890.617,-30645.72895,114670.7137,,-1.02152E-05
21:12:14:0:13:0.0000000,4321042.297,540046.9974,4601636.326,-30242.5092,114822.2754,,-1.00808E-05
21:12:14:0:13:30.0000000,4321248.106,539952.9952,4602384.091,-29836.80631,114967.8392,,-9.9456E-06
21:12:14:0:14:0.0000000,4321456.159,539860.8512,4603129.365,-29431.01101,115106.503,,-9.81034E-06
21:12:14:0:14:30.0000000,4321664.907,539769.0727,4603873.851,-29024.89523,115239.1377,,-9.67497E-06
21:12:14:0:15:0.0000000,4321876.199,539679.274,4604616.679,-28618.05875,115365.2195,,-9.53935E-06
21:12:14:0:15:30.0000000,4322088.401,539591.735,4605358.169,-28210.98417,115483.3156,,-9.40366E-06
21:12:14:0:16:0.0000000,4322301.726,539505.2007,4606098.164,-27803.76031,115596.3519,,-9.26792E-06
21:12:14:0:16:30.0000000,4322515.76,539420.8564,4606833.934,-27397.71239,115701.598,,-9.13257E-06
21:12:14:0:17:0.0000000,4322730.906,539338.0753,4607567.465,-26991.79174,115801.2201,,-8.99726E-06
21:12:14:0:17:30.0000000,4322947.081,539256.8969,4608298.738,-26586.14103,115892.9431,,-8.86205E-06
21:12:14:0:18:0.0000000,4323163.661,539177.4191,4609025.891,-26181.41874,115978.7224,,-8.72714E-06
21:12:14:0:18:30.0000000,4323380.007,539100.0641,4609748.202,-25779.08047,116057.7562,,-8.59303E-06
21:12:14:0:19:0.0000000,4323597.983,539024.0836,4610467.499,-25376.89684,116130.8405,,-8.45897E-06
21:12:14:0:19:30.0000000,4323815.631,538950.7286,4611181.705,-24976.69991,116196.8271,,-8.32557E-06
21:12:14:0:20:0.0000000,4324032.867,538879.2102,4611891.195,-24578.73291,116256.4026,,-8.19291E-06
21:12:14:0:20:30.0000000,4324250.911,538809.2365,4612595.881,-24181.91084,116309.2648,,-8.06064E-06
21:12:14:0:21:0.0000000,4324467.679,538741.8075,4613295.118,-23787.92518,116356.0225,,-7.92931E-06
